,Family,Genus,Species,Subspecies,Infrasubspecies,Sex,Name
5703,Nymphalidae,Charaxes,Charaxes,Charaxes,,Charaxes ♂,Nymphalidae Charaxes nan nan nan ♂
5704,Nymphalidae,Charaxes,Charaxes lucretius,Charaxes lucretius,,Charaxes lucretius ♂,Nymphalidae Charaxes lucretius nan nan ♂
5705,Nymphalidae,Charaxes,Charaxes bipunctatus,Charaxes bipunctatus,,,Nymphalidae Charaxes bipunctatus nan nan nan
5706,Nymphalidae,Charaxes,Charaxes ameliae,Charaxes ameliae,,,Nymphalidae Charaxes ameliae nan nan nan
5707,Nymphalidae,Charaxes,Charaxes brutus,Charaxes brutus,,Charaxes brutus ♂,Nymphalidae Charaxes brutus nan nan ♂
5708,Nymphalidae,Charaxes,Charaxes nobilis,Charaxes nobilis,,,Nymphalidae Charaxes nobilis nan nan nan
5709,Nymphalidae,Charaxes,Charaxes numenes,Charaxes numenes,,Charaxes numenes ♂,Nymphalidae Charaxes numenes nan nan ♂
5710,Nymphalidae,Charaxes,Charaxes cedreatis,Charaxes cedreatis,,,Nymphalidae Charaxes cedreatis nan nan nan
5711,Nymphalidae,Charaxes,Charaxes etesipe,Charaxes etesipe,,,Nymphalidae Charaxes etesipe nan nan nan
5713,Nymphalidae,Charaxes,Charaxes paphianus,Charaxes paphianus,,Charaxes paphianus male,Nymphalidae Charaxes paphianus nan nan male
5714,Nymphalidae,Charaxes,Charaxes pleione,Charaxes pleione,,,Nymphalidae Charaxes pleione nan nan nan
5715,Nymphalidae,Charaxes,Charaxes varanes,Charaxes varanes,,Charaxes varanes male,Nymphalidae Charaxes varanes nan nan male
5716,Nymphalidae,Charaxes,Charaxes cynthia,Charaxes cynthia,,Charaxes cynthia male,Nymphalidae Charaxes cynthia nan nan male
5717,Nymphalidae,Charaxes,Charaxes hildebrandti male,Charaxes hildebrandti male,,,Nymphalidae Charaxes hildebrandti male nan nan nan
5718,Nymphalidae,Charaxes,Charaxes mycerina,Charaxes mycerina,,,Nymphalidae Charaxes mycerina nan nan nan
5719,Nymphalidae,Charaxes,Charaxes candiope,Charaxes candiope,,Charaxes candiope male,Nymphalidae Charaxes candiope nan nan male
5720,Nymphalidae,Charaxes,Charaxes protoclea,Charaxes protoclea,,Charaxes protoclea male,Nymphalidae Charaxes protoclea nan nan male
5721,Nymphalidae,Charaxes,Charaxes pollux,Charaxes pollux,,,Nymphalidae Charaxes pollux nan nan nan
5722,Nymphalidae,Charaxes,Charaxes hadrianus,Charaxes hadrianus,,,Nymphalidae Charaxes hadrianus nan nan nan
5723,Nymphalidae,Charaxes,Charaxes cedreatis,Charaxes cedreatis,,Charaxes cedreatis male,Nymphalidae Charaxes cedreatis nan nan male
5724,Nymphalidae,Charaxes,Charaxes dilitus,Charaxes dilitus,,,Nymphalidae Charaxes dilitus nan nan nan
5726,Nymphalidae,Charaxes,Charaxes nichetes,Charaxes nichetes,,,Nymphalidae Charaxes nichetes nan nan nan
5727,Nymphalidae,Charaxes,Charaxes etheocles,Charaxes etheocles,,Charaxes etheocles male,Nymphalidae Charaxes etheocles nan nan male
5728,Nymphalidae,Charaxes,Charaxes kahldeni,Charaxes kahldeni,,Charaxes kahldeni male,Nymphalidae Charaxes kahldeni nan nan male
5729,Nymphalidae,Charaxes,Charaxes kheili,Charaxes kheili,,Charaxes kheili male,Nymphalidae Charaxes kheili nan nan male
