,Order,Butterfly_Moth,Family,Genus,Species,Subspecies,Sex,Name
576,Lepidoptera,Butterfly,Nymphalidae,Neptis,Neptis miah,Neptis miah batara,,Lepidoptera Butterfly Nymphalidae Neptis miah batara nan
583,Lepidoptera,Butterfly,Nymphalidae,Neptis,Neptis gracilis,Neptis gracilis gracilis,,Lepidoptera Butterfly Nymphalidae Neptis gracilis gracilis nan
588,Lepidoptera,Butterfly,Nymphalidae,Athyma,Athyma reta,Athyma reta,,Lepidoptera Butterfly Nymphalidae Athyma reta nan nan
589,Lepidoptera,Butterfly,Nymphalidae,Acraea,Acraea issoria,Acraea issoria vestoides,Acraea issoria vestoides female,Lepidoptera Butterfly Nymphalidae Acraea issoria vestoides female
593,Lepidoptera,Butterfly,Lycaenidae,Praetaxila,Praetaxila statira,Praetaxila statira,Praetaxila statira male,Lepidoptera Butterfly Lycaenidae Praetaxila statira nan male
595,Lepidoptera,Butterfly,Lycaenidae,Abisara,Abisara kausambi,Abisara kausambi paha,,Lepidoptera Butterfly Lycaenidae Abisara kausambi paha nan
597,Lepidoptera,Butterfly,Lycaenidae,Abisara,Abisara kausambi,Abisara kausambi paha,Abisara kausambi paha female,Lepidoptera Butterfly Lycaenidae Abisara kausambi paha female
613,Lepidoptera,Butterfly,Lycaenidae,Abisara,Abisara kausambi,Abisara kausambi tina,,Lepidoptera Butterfly Lycaenidae Abisara kausambi tina nan
614,Lepidoptera,Butterfly,Nymphalidae,Parantica,Parantica melusine,Parantica melusine melusine,,Lepidoptera Butterfly Nymphalidae Parantica melusine melusine nan
616,Lepidoptera,Butterfly,Nymphalidae,Parantica,Parantica weiskei,Parantica weiskei,,Lepidoptera Butterfly Nymphalidae Parantica weiskei nan nan
632,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus chrysippus,Danaus chrysippus,Danaus chrysippus male,Lepidoptera Butterfly Nymphalidae Danaus chrysippus nan male
633,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus chrysippus,Danaus chrysippus,Danaus chrysippus female,Lepidoptera Butterfly Nymphalidae Danaus chrysippus nan female
635,Lepidoptera,Butterfly,Hesperiidae,Bibasis,Bibasis harisa,Bibasis harisa consobrina,,Lepidoptera Butterfly Hesperiidae Bibasis harisa consobrina nan
637,Lepidoptera,Butterfly,Lycaenidae,Dodona,Dodona chrysapha,Dodona chrysapha,Dodona chrysapha female,Lepidoptera Butterfly Lycaenidae Dodona chrysapha nan female
640,Lepidoptera,Butterfly,Lycaenidae,Dodona,Dodona chrysapha,Dodona chrysapha,,Lepidoptera Butterfly Lycaenidae Dodona chrysapha nan nan
645,Lepidoptera,Butterfly,Lycaenidae,Dodona,Dodona aponata,Dodona aponata fruhstorferi,,Lepidoptera Butterfly Lycaenidae Dodona aponata fruhstorferi nan
648,Lepidoptera,Butterfly,Nymphalidae,Libythea,Libythea geoffroyi,Libythea geoffroyi,Libythea geoffroyi male,Lepidoptera Butterfly Nymphalidae Libythea geoffroyi nan male
650,Lepidoptera,Butterfly,Nymphalidae,Neptis,Neptis hylas,Neptis hylas matuta,,Lepidoptera Butterfly Nymphalidae Neptis hylas matuta nan
678,Lepidoptera,Butterfly,Nymphalidae,Cyrestis,Cyrestis strigata,Cyrestis strigata,,Lepidoptera Butterfly Nymphalidae Cyrestis strigata nan nan
686,Lepidoptera,Butterfly,Nymphalidae,Dichorragia,Dichorragia ninus,Dichorragia ninus ninus,,Lepidoptera Butterfly Nymphalidae Dichorragia ninus ninus nan
689,Lepidoptera,Butterfly,Nymphalidae,Dichorragia,Dichorragia ninus,Dichorragia ninus ninus,Dichorragia ninus ninus male,Lepidoptera Butterfly Nymphalidae Dichorragia ninus ninus male
690,Lepidoptera,Butterfly,Nymphalidae,Lexias,Lexias aeropa,Lexias aeropa,,Lepidoptera Butterfly Nymphalidae Lexias aeropa nan nan
700,Lepidoptera,Butterfly,Nymphalidae,Lexias,Lexias aeropa,Lexias aeropa,Lexias aeropa female,Lepidoptera Butterfly Nymphalidae Lexias aeropa nan female
703,Lepidoptera,Butterfly,Nymphalidae,Lexias,Lexias aeropa,Lexias aeropa,Lexias aeropa male,Lepidoptera Butterfly Nymphalidae Lexias aeropa nan male
707,Lepidoptera,Butterfly,Nymphalidae,Lexias,Lexias panopus,Lexias panopus,Lexias panopus female,Lepidoptera Butterfly Nymphalidae Lexias panopus nan female
728,Lepidoptera,Butterfly,Nymphalidae,Lebadea,Lebadea alankara,Lebadea alankara bankana,,Lepidoptera Butterfly Nymphalidae Lebadea alankara bankana nan
729,Lepidoptera,Butterfly,Nymphalidae,Lebadea,Lebadea alankara,Lebadea alankara alankara,,Lepidoptera Butterfly Nymphalidae Lebadea alankara alankara nan
730,Lepidoptera,Butterfly,Nymphalidae,Lebadea,Lebadea alankara,Lebadea alankara alankara,Lebadea alankara alankara male,Lepidoptera Butterfly Nymphalidae Lebadea alankara alankara male
733,Lepidoptera,Butterfly,Nymphalidae,Lebadea,Lebadea alankara,Lebadea alankara alankara,Lebadea alankara alankara female,Lepidoptera Butterfly Nymphalidae Lebadea alankara alankara female
741,Lepidoptera,Butterfly,Nymphalidae,Lexias,Lexias aeetes,Lexias aeetes aeetes,Lexias aeetes aeetes male,Lepidoptera Butterfly Nymphalidae Lexias aeetes aeetes male
749,Lepidoptera,Butterfly,Nymphalidae,Lexias,Lexias aeetes,Lexias aeetes aeetes,,Lepidoptera Butterfly Nymphalidae Lexias aeetes aeetes nan
751,Lepidoptera,Butterfly,Nymphalidae,Lexias,Lexias aeetes,Lexias aeetes aeetes,Lexias aeetes aeetes female,Lepidoptera Butterfly Nymphalidae Lexias aeetes aeetes female
757,Lepidoptera,Butterfly,Nymphalidae,Lexias,Lexias aeetes,Lexias aeetes phasiana,Lexias aeetes phasiana male,Lepidoptera Butterfly Nymphalidae Lexias aeetes phasiana male
759,Lepidoptera,Butterfly,Nymphalidae,Tanaecia,Tanaecia pelea,Tanaecia pelea vordermanni,Tanaecia pelea vordermanni female,Lepidoptera Butterfly Nymphalidae Tanaecia pelea vordermanni female
760,Lepidoptera,Butterfly,Nymphalidae,Tanaecia,Tanaecia pelea,Tanaecia pelea vordermanni,Tanaecia pelea vordermanni male,Lepidoptera Butterfly Nymphalidae Tanaecia pelea vordermanni male
765,Lepidoptera,Butterfly,Nymphalidae,Tanaecia,Tanaecia pelea,Tanaecia pelea,,Lepidoptera Butterfly Nymphalidae Tanaecia pelea nan nan
766,Lepidoptera,Butterfly,Nymphalidae,Tanaecia,Tanaecia pelea,Tanaecia pelea,Tanaecia pelea male,Lepidoptera Butterfly Nymphalidae Tanaecia pelea nan male
779,Lepidoptera,Butterfly,Lycaenidae,Paralaxita,Paralaxita damajanti,Paralaxita damajanti cyme,,Lepidoptera Butterfly Lycaenidae Paralaxita damajanti cyme nan
781,Lepidoptera,Butterfly,Nymphalidae,Dichorragia,Dichorragia nesimachus,Dichorragia nesimachus,,Lepidoptera Butterfly Nymphalidae Dichorragia nesimachus nan nan
783,Lepidoptera,Butterfly,Nymphalidae,Dichorragia,Dichorragia ninus,Dichorragia ninus ninus,Dichorragia ninus ninus female,Lepidoptera Butterfly Nymphalidae Dichorragia ninus ninus female
786,Lepidoptera,Butterfly,Nymphalidae,Vindula,Vindula erota,Vindula erota battaka,Vindula erota battaka male,Lepidoptera Butterfly Nymphalidae Vindula erota battaka male
787,Lepidoptera,Butterfly,Nymphalidae,Vindula,Vindula dejone,Vindula dejone austrosundana,,Lepidoptera Butterfly Nymphalidae Vindula dejone austrosundana nan
789,Lepidoptera,Butterfly,Nymphalidae,Vindula,Vindula dejone,Vindula dejone bagrada,,Lepidoptera Butterfly Nymphalidae Vindula dejone bagrada nan
791,Lepidoptera,Butterfly,Nymphalidae,Vindula,Vindula erota,Vindula erota,,Lepidoptera Butterfly Nymphalidae Vindula erota nan nan
792,Lepidoptera,Butterfly,Nymphalidae,Moduza,Moduza procris,Moduza procris neutra,Moduza procris neutra male,Lepidoptera Butterfly Nymphalidae Moduza procris neutra male
795,Lepidoptera,Butterfly,Nymphalidae,Neptis,Neptis nausicaa,Neptis nausicaa nausicaa,,Lepidoptera Butterfly Nymphalidae Neptis nausicaa nausicaa nan
799,Lepidoptera,Butterfly,Nymphalidae,Neptis,Neptis nausicaa,Neptis nausicaa nausicaa,Neptis nausicaa nausicaa male,Lepidoptera Butterfly Nymphalidae Neptis nausicaa nausicaa male
801,Lepidoptera,Butterfly,Nymphalidae,Phaedyma,Phaedyma columella,Phaedyma columella bataviana,,Lepidoptera Butterfly Nymphalidae Phaedyma columella bataviana nan
802,Lepidoptera,Butterfly,Nymphalidae,Athyma,Athyma nefte,Athyma nefte subrata,,Lepidoptera Butterfly Nymphalidae Athyma nefte subrata nan
803,Lepidoptera,Butterfly,Nymphalidae,Sumalia,Sumalia daraxa,Sumalia daraxa theoda,Sumalia daraxa theoda male,Lepidoptera Butterfly Nymphalidae Sumalia daraxa theoda male
804,Lepidoptera,Butterfly,Lycaenidae,Dicallaneura,Dicallaneura ostrina,Dicallaneura ostrina,,Lepidoptera Butterfly Lycaenidae Dicallaneura ostrina nan nan
805,Lepidoptera,Butterfly,Lycaenidae,Dicallaneura,Dicallaneura amabilis,Dicallaneura amabilis,,Lepidoptera Butterfly Lycaenidae Dicallaneura amabilis nan nan
807,Lepidoptera,Butterfly,Lycaenidae,Praetaxila,Praetaxila heterisa,Praetaxila heterisa,Praetaxila heterisa male,Lepidoptera Butterfly Lycaenidae Praetaxila heterisa nan male
808,Lepidoptera,Butterfly,Lycaenidae,Praetaxila,Praetaxila heterisa,Praetaxila heterisa,Praetaxila heterisa female,Lepidoptera Butterfly Lycaenidae Praetaxila heterisa nan female
811,Lepidoptera,Butterfly,Papilionidae,Papilio,Papilio euchenor,Papilio euchenor,Papilio euchenor female,Lepidoptera Butterfly Papilionidae Papilio euchenor nan female
812,Lepidoptera,Butterfly,Papilionidae,Papilio,Papilio memnon,Papilio memnon,Papilio memnon male,Lepidoptera Butterfly Papilionidae Papilio memnon nan male
813,Lepidoptera,Butterfly,Papilionidae,Papilio,Papilio iswara,Papilio iswara riouwensis,Papilio iswara riouwensis female,Lepidoptera Butterfly Papilionidae Papilio iswara riouwensis female
815,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus chrysippus,Danaus chrysippus bataviana,,Lepidoptera Butterfly Nymphalidae Danaus chrysippus bataviana nan
817,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus chrysippus,Danaus chrysippus bataviana,Danaus chrysippus bataviana male,Lepidoptera Butterfly Nymphalidae Danaus chrysippus bataviana male
818,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus chrysippus,Danaus chrysippus bataviana,Danaus chrysippus bataviana female,Lepidoptera Butterfly Nymphalidae Danaus chrysippus bataviana female
821,Lepidoptera,Butterfly,Nymphalidae,Ideopsis,Ideopsis vitrea,Ideopsis vitrea,Ideopsis vitrea male,Lepidoptera Butterfly Nymphalidae Ideopsis vitrea nan male
822,Lepidoptera,Butterfly,Pieridae,Pareronia,Pareronia tritaea,Pareronia tritaea tritaea,Pareronia tritaea tritaea male,Lepidoptera Butterfly Pieridae Pareronia tritaea tritaea male
823,Lepidoptera,Butterfly,Pieridae,Pareronia,Pareronia tritaea,Pareronia tritaea tritaea,Pareronia tritaea tritaea female,Lepidoptera Butterfly Pieridae Pareronia tritaea tritaea female
824,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus affinis,Danaus affinis affinis,Danaus affinis affinis male,Lepidoptera Butterfly Nymphalidae Danaus affinis affinis male
825,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus affinis,Danaus affinis affinis,Danaus affinis affinis female,Lepidoptera Butterfly Nymphalidae Danaus affinis affinis female
826,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus affinis,Danaus affinis galacterion,Danaus affinis galacterion male,Lepidoptera Butterfly Nymphalidae Danaus affinis galacterion male
827,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus affinis,Danaus affinis galacterion,Danaus affinis galacterion female,Lepidoptera Butterfly Nymphalidae Danaus affinis galacterion female
828,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus ismare,Danaus ismare,,Lepidoptera Butterfly Nymphalidae Danaus ismare nan nan
832,Lepidoptera,Butterfly,Nymphalidae,Tirumala,Tirumala limniace,Tirumala limniace,,Lepidoptera Butterfly Nymphalidae Tirumala limniace nan nan
834,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea midamus,Euploea midamus sophia,Euploea midamus sophia male,Lepidoptera Butterfly Nymphalidae Euploea midamus sophia male
835,Lepidoptera,Butterfly,Nymphalidae,Vindula,Vindula dejone,Vindula dejone,,Lepidoptera Butterfly Nymphalidae Vindula dejone nan nan
845,Lepidoptera,Butterfly,Papilionidae,Papilio,Papilio demoleus,Papilio demoleus novoguineensis,Papilio demoleus novoguineensis female,Lepidoptera Butterfly Papilionidae Papilio demoleus novoguineensis female
849,Lepidoptera,Butterfly,Papilionidae,Papilio,Papilio demoleus,Papilio demoleus novoguineensis,Papilio demoleus novoguineensis male,Lepidoptera Butterfly Papilionidae Papilio demoleus novoguineensis male
854,Lepidoptera,Butterfly,Nymphalidae,Neptis,Neptis hylas,Neptis hylas ombalata,,Lepidoptera Butterfly Nymphalidae Neptis hylas ombalata nan
867,Lepidoptera,Butterfly,Nymphalidae,Neptis,Neptis hylas,Neptis hylas matuta,Neptis hylas matuta male,Lepidoptera Butterfly Nymphalidae Neptis hylas matuta male
869,Lepidoptera,Butterfly,Papilionidae,Papilio,Papilio memnon,Papilio memnon memnon,Papilio memnon memnon male,Lepidoptera Butterfly Papilionidae Papilio memnon memnon male
870,Lepidoptera,Butterfly,Papilionidae,Papilio,Papilio memnon,Papilio memnon memnon,Papilio memnon memnon female,Lepidoptera Butterfly Papilionidae Papilio memnon memnon female
872,Lepidoptera,Butterfly,Papilionidae,Papilio,Papilio polytes,Papilio polytes javanus,Papilio polytes javanus male,Lepidoptera Butterfly Papilionidae Papilio polytes javanus male
873,Lepidoptera,Butterfly,Nymphalidae,Bassarona,Bassarona teuta,Bassarona teuta teuta,,Lepidoptera Butterfly Nymphalidae Bassarona teuta teuta nan
874,Lepidoptera,Butterfly,Nymphalidae,Bassarona,Bassarona teuta,Bassarona teuta teuta,Bassarona teuta teuta male,Lepidoptera Butterfly Nymphalidae Bassarona teuta teuta male
876,Lepidoptera,Butterfly,Nymphalidae,Bassarona,Bassarona teuta,Bassarona teuta eion,Bassarona teuta eion male,Lepidoptera Butterfly Nymphalidae Bassarona teuta eion male
881,Lepidoptera,Butterfly,Nymphalidae,Bassarona,Bassarona teuta,Bassarona teuta eion,Bassarona teuta eion female,Lepidoptera Butterfly Nymphalidae Bassarona teuta eion female
884,Lepidoptera,Butterfly,Nymphalidae,Bassarona,Bassarona teuta,Bassarona teuta externa,Bassarona teuta externa male,Lepidoptera Butterfly Nymphalidae Bassarona teuta externa male
885,Lepidoptera,Butterfly,Nymphalidae,Bassarona,Bassarona teuta,Bassarona teuta externa,Bassarona teuta externa female,Lepidoptera Butterfly Nymphalidae Bassarona teuta externa female
886,Lepidoptera,Butterfly,Nymphalidae,Lexias,Lexias aeropa,Lexias aeropa aeropa,Lexias aeropa aeropa male,Lepidoptera Butterfly Nymphalidae Lexias aeropa aeropa male
888,Lepidoptera,Butterfly,Nymphalidae,Lexias,Lexias aeropa,Lexias aeropa aeropa,,Lepidoptera Butterfly Nymphalidae Lexias aeropa aeropa nan
896,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea leucostictos,Euploea leucostictos meizon,,Lepidoptera Butterfly Nymphalidae Euploea leucostictos meizon nan
897,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea leucostictos,Euploea leucostictos meizon,Euploea leucostictos meizon female,Lepidoptera Butterfly Nymphalidae Euploea leucostictos meizon female
898,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea leucostictos,Euploea leucostictos meizon,Euploea leucostictos meizon male,Lepidoptera Butterfly Nymphalidae Euploea leucostictos meizon male
901,Lepidoptera,Butterfly,Nymphalidae,Athyma,Athyma reta,Athyma reta mendica,,Lepidoptera Butterfly Nymphalidae Athyma reta mendica nan
903,Lepidoptera,Butterfly,Nymphalidae,Athyma,Athyma reta,Athyma reta kresna,Athyma reta kresna female,Lepidoptera Butterfly Nymphalidae Athyma reta kresna female
904,Lepidoptera,Butterfly,Nymphalidae,Athyma,Athyma nefte,Athyma nefte subratina,,Lepidoptera Butterfly Nymphalidae Athyma nefte subratina nan
906,Lepidoptera,Butterfly,Nymphalidae,Athyma,Athyma nefte,Athyma nefte subratina,Athyma nefte subratina male,Lepidoptera Butterfly Nymphalidae Athyma nefte subratina male
913,Lepidoptera,Butterfly,Nymphalidae,Athyma,Athyma nefte,Athyma nefte subratina,Athyma nefte subratina female,Lepidoptera Butterfly Nymphalidae Athyma nefte subratina female
915,Lepidoptera,Butterfly,Nymphalidae,Athyma,Athyma pravara,Athyma pravara,,Lepidoptera Butterfly Nymphalidae Athyma pravara nan nan
918,Lepidoptera,Butterfly,Nymphalidae,Athyma,Athyma libnites,Athyma libnites,Athyma libnites male,Lepidoptera Butterfly Nymphalidae Athyma libnites nan male
920,Lepidoptera,Butterfly,Nymphalidae,Athyma,Athyma libnites,Athyma libnites,,Lepidoptera Butterfly Nymphalidae Athyma libnites nan nan
936,Lepidoptera,Butterfly,Nymphalidae,Athyma,Athyma libnites,Athyma libnites,Athyma libnites female,Lepidoptera Butterfly Nymphalidae Athyma libnites nan female
947,Lepidoptera,Butterfly,Nymphalidae,Parthenos,Parthenos tigrina,Parthenos tigrina tigrina,Parthenos tigrina tigrina female,Lepidoptera Butterfly Nymphalidae Parthenos tigrina tigrina female
948,Lepidoptera,Butterfly,Nymphalidae,Parthenos,Parthenos tigrina,Parthenos tigrina tigrina,Parthenos tigrina tigrina male,Lepidoptera Butterfly Nymphalidae Parthenos tigrina tigrina male
953,Lepidoptera,Butterfly,Nymphalidae,Parthenos,Parthenos tigrina,Parthenos tigrina tigrina,,Lepidoptera Butterfly Nymphalidae Parthenos tigrina tigrina nan
968,Lepidoptera,Butterfly,Nymphalidae,Parthenos,Parthenos aspila,Parthenos aspila,Parthenos aspila female,Lepidoptera Butterfly Nymphalidae Parthenos aspila nan female
969,Lepidoptera,Butterfly,Nymphalidae,Parthenos,Parthenos sylvia,Parthenos sylvia joloensis,Parthenos sylvia joloensis male,Lepidoptera Butterfly Nymphalidae Parthenos sylvia joloensis male
970,Lepidoptera,Butterfly,Nymphalidae,Parthenos,Parthenos sylvia,Parthenos sylvia joloensis,Parthenos sylvia joloensis female,Lepidoptera Butterfly Nymphalidae Parthenos sylvia joloensis female
971,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea modesta,Euploea modesta,,Lepidoptera Butterfly Nymphalidae Euploea modesta nan nan
973,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea tulliolus,Euploea tulliolus usurpata,,Lepidoptera Butterfly Nymphalidae Euploea tulliolus usurpata nan
980,Lepidoptera,Butterfly,Nymphalidae,Parthenos,Parthenos aspila,Parthenos aspila,,Lepidoptera Butterfly Nymphalidae Parthenos aspila nan nan
981,Lepidoptera,Butterfly,Nymphalidae,Parthenos,Parthenos aspila,Parthenos aspila,Parthenos aspila male,Lepidoptera Butterfly Nymphalidae Parthenos aspila nan male
985,Lepidoptera,Butterfly,Nymphalidae,Parthenos,Parthenos sylvia,Parthenos sylvia,,Lepidoptera Butterfly Nymphalidae Parthenos sylvia nan nan
987,Lepidoptera,Butterfly,Nymphalidae,Parthenos,Parthenos sylvia,Parthenos sylvia,Parthenos sylvia female,Lepidoptera Butterfly Nymphalidae Parthenos sylvia nan female
989,Lepidoptera,Butterfly,Nymphalidae,Parthenos,Parthenos sylvia,Parthenos sylvia,Parthenos sylvia male,Lepidoptera Butterfly Nymphalidae Parthenos sylvia nan male
1004,Lepidoptera,Butterfly,Lycaenidae,Laxita,Laxita teneta,Laxita teneta teneta,,Lepidoptera Butterfly Lycaenidae Laxita teneta teneta nan
1006,Lepidoptera,Butterfly,Lycaenidae,Paralaxita,Paralaxita damajanti,Paralaxita damajanti lasica,Paralaxita damajanti lasica male,Lepidoptera Butterfly Lycaenidae Paralaxita damajanti lasica male
1008,Lepidoptera,Butterfly,Lycaenidae,Paralaxita,Paralaxita telesia,Paralaxita telesia telesia,Paralaxita telesia telesia female,Lepidoptera Butterfly Lycaenidae Paralaxita telesia telesia female
1009,Lepidoptera,Butterfly,Lycaenidae,Stiboges,Stiboges nymphidia,Stiboges nymphidia calycoides,,Lepidoptera Butterfly Lycaenidae Stiboges nymphidia calycoides nan
1014,Lepidoptera,Butterfly,Lycaenidae,Laxita,Laxita teneta,Laxita teneta teneta,Laxita teneta teneta male,Lepidoptera Butterfly Lycaenidae Laxita teneta teneta male
1028,Lepidoptera,Butterfly,Lycaenidae,Paralaxita,Paralaxita damajanti,Paralaxita damajanti lasica,,Lepidoptera Butterfly Lycaenidae Paralaxita damajanti lasica nan
1042,Lepidoptera,Butterfly,Nymphalidae,Neptis,Neptis hylas,Neptis hylas,,Lepidoptera Butterfly Nymphalidae Neptis hylas nan nan
1062,Lepidoptera,Butterfly,Nymphalidae,Cyrestis,Cyrestis acilia,Cyrestis acilia sicca,,Lepidoptera Butterfly Nymphalidae Cyrestis acilia sicca nan
1064,Lepidoptera,Butterfly,Nymphalidae,Cyrestis,Cyrestis acilia,Cyrestis acilia sicca,Cyrestis acilia sicca male,Lepidoptera Butterfly Nymphalidae Cyrestis acilia sicca male
1066,Lepidoptera,Butterfly,Nymphalidae,Cyrestis,Cyrestis acilia,Cyrestis acilia sicca,Cyrestis acilia sicca female,Lepidoptera Butterfly Nymphalidae Cyrestis acilia sicca female
1073,Lepidoptera,Butterfly,Nymphalidae,Cyrestis,Cyrestis acilia,Cyrestis acilia,Cyrestis acilia male,Lepidoptera Butterfly Nymphalidae Cyrestis acilia nan male
1074,Lepidoptera,Butterfly,Nymphalidae,Junonia,Junonia iphita,Junonia iphita,,Lepidoptera Butterfly Nymphalidae Junonia iphita nan nan
1075,Lepidoptera,Butterfly,Nymphalidae,Cyrestis,Cyrestis eximia,Cyrestis eximia eximia,Cyrestis eximia eximia female,Lepidoptera Butterfly Nymphalidae Cyrestis eximia eximia female
1076,Lepidoptera,Butterfly,Nymphalidae,Cyrestis,Cyrestis eximia,Cyrestis eximia eximia,,Lepidoptera Butterfly Nymphalidae Cyrestis eximia eximia nan
