,Order,Butterfly_Moth,Family,Genus,Species,Subspecies,Sex,Name
318,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus genutia,Danaus genutia laratensis,Danaus genutia laratensis female,Lepidoptera Butterfly Nymphalidae Danaus genutia laratensis female
338,Lepidoptera,Butterfly,Nymphalidae,Prothoe,Prothoe franck,Prothoe franck franck,,Lepidoptera Butterfly Nymphalidae Prothoe franck franck nan
359,Lepidoptera,Butterfly,Lycaenidae,Dodona,Dodona adonira,Dodona adonira,,Lepidoptera Butterfly Lycaenidae Dodona adonira nan nan
360,Lepidoptera,Butterfly,Lycaenidae,Zemeros,Zemeros flegyas,Zemeros flegyas phyliscus,,Lepidoptera Butterfly Lycaenidae Zemeros flegyas phyliscus nan
363,Lepidoptera,Butterfly,Lycaenidae,Zemeros,Zemeros flegyas,Zemeros flegyas retiarius,,Lepidoptera Butterfly Lycaenidae Zemeros flegyas retiarius nan
364,Lepidoptera,Butterfly,Lycaenidae,Zemeros,Zemeros emesoides,Zemeros emesoides emesoides,,Lepidoptera Butterfly Lycaenidae Zemeros emesoides emesoides nan
367,Lepidoptera,Butterfly,Lycaenidae,Zemeros,Zemeros emesoides,Zemeros emesoides zynias,,Lepidoptera Butterfly Lycaenidae Zemeros emesoides zynias nan
371,Lepidoptera,Butterfly,Lycaenidae,Zemeros,Zemeros emesoides,Zemeros emesoides zynias,Zemeros emesoides zynias male,Lepidoptera Butterfly Lycaenidae Zemeros emesoides zynias male
379,Lepidoptera,Butterfly,Lycaenidae,Zemeros,Zemeros emesoides,Zemeros emesoides zynias,Zemeros emesoides zynias female,Lepidoptera Butterfly Lycaenidae Zemeros emesoides zynias female
380,Lepidoptera,Butterfly,Lycaenidae,Zemeros,Zemeros emesoides,Zemeros emesoides eso,,Lepidoptera Butterfly Lycaenidae Zemeros emesoides eso nan
401,Lepidoptera,Butterfly,Nymphalidae,Agatasa,Agatasa calydonia,Agatasa calydonia calydonia,Agatasa calydonia calydonia female,Lepidoptera Butterfly Nymphalidae Agatasa calydonia calydonia female
403,Lepidoptera,Butterfly,Nymphalidae,Agatasa,Agatasa calydonia,Agatasa calydonia calydonia,Agatasa calydonia calydonia male,Lepidoptera Butterfly Nymphalidae Agatasa calydonia calydonia male
405,Lepidoptera,Butterfly,Nymphalidae,Agatasa,Agatasa calydonia,Agatasa calydonia calydonia,,Lepidoptera Butterfly Nymphalidae Agatasa calydonia calydonia nan
407,Lepidoptera,Butterfly,Nymphalidae,Agatasa,Agatasa calydonia,Agatasa calydonia auricinia,,Lepidoptera Butterfly Nymphalidae Agatasa calydonia auricinia nan
